dataset	shot	status	accuracy	accuracy_std	num_runs
Plane	1	success	0.9143240203	0.0637978154	5
Plane	10	success	0.9905076645	0.0473219817	5
Plane	2	success	0.9048497620	0.0747916661	5
Plane	5	success	0.9999700971	0.0399744253	5
PowerCons	1	success	0.7778357992	0.0578510206	5
PowerCons	10	success	0.7833311209	0.0529955644	5
PowerCons	2	success	0.4889444509	0.0276165166	5
PowerCons	5	success	0.5222251191	0.0252629346	5
ProximalPhalanxOutlineAgeGroup	1	success	0.7854099146	0.0581277783	5
ProximalPhalanxOutlineAgeGroup	10	success	0.7610018891	0.0502585527	5
ProximalPhalanxOutlineAgeGroup	2	success	0.8146488789	0.0152798321	5
ProximalPhalanxOutlineAgeGroup	5	success	0.8390168346	0.0509731235	5
ProximalPhalanxOutlineCorrect	1	success	0.5979495993	0.0689919073	5
ProximalPhalanxOutlineCorrect	10	success	0.6289031123	0.0470339371	5
ProximalPhalanxOutlineCorrect	2	success	0.6426045197	0.0646883601	5
ProximalPhalanxOutlineCorrect	5	success	0.6289246521	0.0688443042	5
ProximalPhalanxTW	1	success	0.6098295999	0.0641860741	5
ProximalPhalanxTW	10	success	0.4537046373	0.0525144658	5
ProximalPhalanxTW	2	success	0.3902151877	0.0251941963	5
ProximalPhalanxTW	5	success	0.7317486655	0.0270120116	5
RefrigerationDevices	1	success	0.3120077127	0.0646651833	5
RefrigerationDevices	10	success	0.4000497183	0.0528245182	5
RefrigerationDevices	2	success	0.2640068247	0.0956281367	5
RefrigerationDevices	5	success	0.4160417928	0.0441357404	5
Rock	1	success	0.2000320511	0.0598617125	5
Rock	10	success	0.6400103205	0.0503488790	5
Rock	2	success	0.6600385631	0.0132818464	5
Rock	5	success	0.5600064271	0.0249065851	5
ScreenType	1	success	0.3360362108	0.0558728645	5
ScreenType	10	success	0.3333079947	0.0470338366	5
ScreenType	2	success	0.3360494322	0.1012974735	5
ScreenType	5	success	0.3573027790	0.0608330082	5
SemgHandGenderCh2	1	success	0.4200173962	0.0538202546	5
SemgHandGenderCh2	10	success	0.7067370115	0.0464270536	5
SemgHandGenderCh2	2	success	0.6817215837	0.0687117607	5
SemgHandGenderCh2	5	success	0.6033157233	0.0649990025	5
SemgHandMovementCh2	1	success	0.2889062942	0.0611666213	5
SemgHandMovementCh2	10	success	0.3778414952	0.0467476384	5
SemgHandMovementCh2	2	success	0.2600134790	0.0634922921	5
SemgHandMovementCh2	5	success	0.3200074704	0.0583503973	5
SemgHandSubjectCh2	1	success	0.4156276858	0.0561474005	5
SemgHandSubjectCh2	10	success	0.5689079825	0.0486889175	5
SemgHandSubjectCh2	2	success	0.4422079321	0.0378294581	5
SemgHandSubjectCh2	5	success	0.3733196079	0.0246151770	5
ShakeGestureWiimoteZ	1	success	0.7000432609	0.0585902943	5
ShakeGestureWiimoteZ	10	success	0.8400349801	0.0513450095	5
ShakeGestureWiimoteZ	2	success	0.7200078882	0.0919766719	5
ShakeGestureWiimoteZ	5	success	0.8200316632	0.0414184688	5
ShapeletSim	1	success	0.5278463416	0.0613582318	5
ShapeletSim	10	success	0.9667388780	0.0488286651	5
ShapeletSim	2	success	0.6111367893	0.0368658847	5
ShapeletSim	5	success	0.8667361548	0.0468997549	5
ShapesAll	1	success	0.4650419342	0.0565769284	5
ShapesAll	10	success	0.7183316362	0.0511476564	5
ShapesAll	2	success	0.5267214506	0.0472698640	5
ShapesAll	5	success	0.6400456604	0.0393349429	5
SmallKitchenAppliances	1	success	0.5493052299	0.0620715068	5
SmallKitchenAppliances	10	success	0.5440070656	0.0517177130	5
SmallKitchenAppliances	2	success	0.5600243641	0.0717044604	5
SmallKitchenAppliances	5	success	0.4507217473	0.0310002812	5
SmoothSubspace	1	success	0.5867483763	0.0620819760	5
SmoothSubspace	10	success	0.8733183180	0.0499874405	5
SmoothSubspace	2	success	0.7733391503	0.0977912340	5
SmoothSubspace	5	success	0.7600163255	0.0633377226	5
